# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 16266256465
#
# Overhead  Command       Shared Object     Symbol
# ........  ............  ................  ......................................................................................................................................................................................................
#
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff86035e4a
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff850b2c99
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8571c0fd
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85f27094
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8569f840
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85efbc79
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffffc0f92076
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff851a2930
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8604ac8c
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8620acac
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85ef3fa6
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffffc0fdbeb0
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff850b8f26
     0.06%  frankenredis  [unknown]         [k] 0xffffffff8572a609
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85f2af54
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8602f46e
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff86011b2a
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8603d39a
     0.06%  frankenredis  [unknown]         [k] 0xffffffff85eeb894
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85f05399
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8603a9d2
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8603d59c
     0.06%  frankenredis  [unknown]         [k] 0xffffffff85ef6e27
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff860415b9
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85f2ae2a
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff86011bc6
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8603b832
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8603d473
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffffc0f92477
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8602fd59
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff84f88cf7
