# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 15783509527
#
# Overhead  Command       Shared Object     Symbol                                                                                                                                                                                                  
# ........  ............  ................  ........................................................................................................................................................................................................
#
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffffc0fe8de2
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff86011274
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff8547fa88
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff851a2b6a
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff854ffacb
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff84fdedcb
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8602f4e4
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffffc0f9224b
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff8603fc6f
     0.08%  fr-writer-1   libc.so.6         [.] __syscall_cancel_arch_end
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8602cb85
     0.08%  frankenredis  [unknown]         [k] 0xffffffff854afec4
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffffc0fd73d9
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff86023d30
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8572a609
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff85087a1a
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffffc0feabb9
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff8508a436
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff85717a50
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffffc0feabdc
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff84f233a4
     0.08%  frankenredis  [unknown]         [k] 0xffffffff8623a4d2
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff86023a39
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff86001821
     0.08%  frankenredis  [unknown]         [k] 0xffffffff85eeb894
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffffc0fbd2ae
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff86036c8a
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff8519f5cd
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffffc0f928be
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffffc08175f7
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff8546fb9e
     0.08%  fr-writer-0   [unknown]         [k] 0xffffffff85ffba1b
     0.08%  fr-writer-1   [unknown]         [k] 0xffffffff850811b7
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffffc0817606
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff86023989
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85f2ae87
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8602f2a5
     0.07%  frankenredis  [unknown]         [k] 0xffffffff8623a6aa
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8519fced
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff85081488
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85f9f6a2
     0.07%  fr-writer-1   libc.so.6         [.] __send
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8506c785
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff86220705
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8602ef39
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85f028c2
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffffc0fdcecc
     0.07%  fr-writer-0   frankenredis      [.] <std::sys::sync::mutex::futex::Mutex>::lock_contended
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8602f2cc
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8623a6aa
     0.07%  frankenredis  frankenredis      [.] <fr_runtime::ClientSession as core::clone::Clone>::clone
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff851a2278
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8546fe48
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8603d37f
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffffc0f923de
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff85f02a27
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffffc0fb2182
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff853f14ec
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8604ce14
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff860541ac
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8546fb9b
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff853e9b98
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8603cac8
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8604c3d5
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff85f0b746
