# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles:P'
# Event count (approx.): 11254857444
#
# Overhead  Shared Object     Symbol                                                                                                                                                                                                                                                           IPC   [IPC Coverage]
# ........  ................  ...............................................................................................................................................................................................................................................................  ....................
#
     0.05%  [unknown]         [k] 0xffffffff85080fa4                                                                                                                                                                                                                                           -      -
     0.05%  frankenredis      [.] <fr_runtime::ServerState>::record_command_histogram_outcome                                                                                                                                                                                                  -      -
     0.05%  [unknown]         [k] 0xffffffff851a2a13                                                                                                                                                                                                                                           -      -
     0.05%  [unknown]         [k] 0xffffffff8601123d                                                                                                                                                                                                                                           -      -
     0.05%  [unknown]         [k] 0xffffffff853ec2ca                                                                                                                                                                                                                                           -      -
     0.05%  [unknown]         [k] 0xffffffff85091497                                                                                                                                                                                                                                           -      -
     0.05%  [unknown]         [k] 0xffffffff84f8cac7                                                                                                                                                                                                                                           -      -
     0.04%  [unknown]         [k] 0xffffffff8508a8a0                                                                                                                                                                                                                                           -      -
     0.04%  [unknown]         [k] 0xffffffff851965fa                                                                                                                                                                                                                                           -      -
     0.04%  frankenredis      [.] <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&mio::token::Token>                                                                                                                                                                  -      -
     0.04%  [unknown]         [k] 0xffffffffc0fd6e3a                                                                                                                                                                                                                                           -      -
     0.04%  [unknown]         [k] 0xffffffff85088033                                                                                                                                                                                                                                           -      -
     0.04%  frankenredis      [.] fr_protocol::push_usize                                                                                                                                                                                                                                      -      -
     0.04%  [unknown]         [k] 0xffffffff86025785                                                                                                                                                                                                                                           -      -
     0.04%  [unknown]         [k] 0xffffffff85ef6e5e                                                                                                                                                                                                                                           -      -
     0.04%  frankenredis      [.] <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&alloc::vec::Vec<u8>>                                                                                                                                                                -      -
     0.04%  [unknown]         [k] 0xffffffff8620a0a8                                                                                                                                                                                                                                           -      -
     0.04%  [unknown]         [k] 0xffffffff853267f0                                                                                                                                                                                                                                           -      -
     0.04%  [unknown]         [k] 0xffffffff85f2c8a0                                                                                                                                                                                                                                           -      -
     0.04%  [unknown]         [k] 0xffffffffc0fdd54a                                                                                                                                                                                                                                           -      -
     0.04%  libc.so.6         [.] __send                                                                                                                                                                                                                                                       -      -
     0.04%  frankenredis      [.] core::ptr::drop_in_place::<fr_protocol::RespFrame>                                                                                                                                                                                                           -      -
     0.04%  [unknown]         [k] 0xffffffff84fdec12                                                                                                                                                                                                                                           -      -
     0.04%  [unknown]         [k] 0xffffffffc0f92477                                                                                                                                                                                                                                           -      -
     0.04%  [unknown]         [k] 0xffffffff850884fa                                                                                                                                                                                                                                           -      -
     0.04%  [unknown]         [k] 0xffffffff8602f47d                                                                                                                                                                                                                                           -      -
