# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 14060755418
#
# Overhead  Command       Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                           
# ........  ............  ....................  .................................................................................................................................................................................................................................................................................................................................................................................
#
     0.06%  frankenredis  [unknown]             [k] 0xffffffffc08175a9
     0.06%  frankenredis  [unknown]             [k] 0xffffffff862251e8
     0.06%  frankenredis  [unknown]             [k] 0xffffffff851965fc
     0.06%  frankenredis  [unknown]             [k] 0xffffffff8508aae8
     0.06%  frankenredis  [unknown]             [k] 0xffffffff85ef183b
     0.06%  frankenredis  [unknown]             [k] 0xffffffff8603f646
     0.06%  frankenredis  [unknown]             [k] 0xffffffffc0f920fa
     0.06%  frankenredis  [unknown]             [k] 0xffffffff85137479
     0.06%  frankenredis  [unknown]             [k] 0xffffffff86054abf
     0.06%  frankenredis  [unknown]             [k] 0xffffffffc0816110
     0.05%  frankenredis  frankenredis          [.] <core::hash::sip::Hasher<core::hash::sip::Sip13Rounds> as core::hash::Hasher>::write
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8603fca9
     0.05%  frankenredis  [unknown]             [k] 0xffffffff860367e0
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85f2e985
     0.05%  frankenredis  [unknown]             [k] 0xffffffff850b2c17
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8546fd6a
     0.05%  frankenredis  [unknown]             [k] 0xffffffff862096d1
     0.05%  frankenredis  [unknown]             [k] 0xffffffffc0f9213a
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8507b507
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8602f297
     0.05%  frankenredis  [unknown]             [k] 0xffffffffc08551a9
     0.05%  frankenredis  [unknown]             [k] 0xffffffffc0fd74ed
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8507b4fc
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85138725
     0.05%  frankenredis  [unknown]             [k] 0xffffffff851a0530
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85f2e956
     0.05%  frankenredis  [unknown]             [k] 0xffffffff850aad27
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85080fa4
     0.05%  frankenredis  [unknown]             [k] 0xffffffff860258a4
     0.05%  frankenredis  [unknown]             [k] 0xffffffff84fd0b90
     0.05%  frankenredis  [unknown]             [k] 0xffffffff854fe403
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85090797
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8600a1a3
     0.05%  frankenredis  [unknown]             [k] 0xffffffff85eef9df
     0.05%  frankenredis  [unknown]             [k] 0xffffffff850a6cff
     0.05%  frankenredis  [unknown]             [k] 0xffffffff850222a5
     0.05%  frankenredis  [unknown]             [k] 0xffffffff86009a87
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8603cd40
     0.05%  frankenredis  [unknown]             [k] 0xffffffff860222e5
     0.05%  frankenredis  [unknown]             [k] 0xffffffff850216a9
     0.05%  frankenredis  [unknown]             [k] 0xffffffff8602f207
     0.05%  frankenredis  [unknown]             [k] 0xffffffffc0fd4710
